,,185,,,,,,184,,,,,,,186,,186,,186,,72,82,61,,183,180,99,0,4,13,9,0,10,0,6,0,9,2,10,36,20,4,33,14,4,24,0,18,12,183,,21,15,5,25,27,6,47,54,24,69,30,152,183,,,,,,,,,,,,
NYANCAT,N,Iota Harrison V,,Y,,,Y,2,,,Y,,,1,primitive,,none,,none,,,Y,,,2,3,5,,,,,,,,,,,,,1,,,,,,,,,,11,,,,,,,,,,,9,,9,20,3 gemstones. only one non-rock NC,3,3,71,13,24,0,13,2,0,19,256
LAAAAME,N,Zeta Pacmanicus II,Y,,,,Y,2,Y,,,,,1,advanced,,primitive,,detected,,,,,,5,5,,,,,,,,,,,,,,,5,,4,,,1,salad (14.6K),,,20,,,,,,,,,,,,,0,20,331 pages. All NC adventures.,3,3,27,11,0,0,0,0,12,4,111
MADONNA,N,Xi Linoleus X,,Y,,Y,,2,,,,Y,,1,none,,anomalous,,none,,Y,,,,3,3,4,,,,,,,,,,,,,,,,,,3,,,,,13,,,,,,,,,7,,,,7,20,344 pages,3,3,55,12,0,3,14,13,13,0,220
MRSKULL,N,Milkius Smith III,,,Y,,Y,2,,Y,,,,1,none,,none,,detected,Y,,Y,Y,,2,3,3,,,1,,,,,,,,,,,,,,,,,,,,9,,,,,,,,6,,,2,3,11,20,355 pages,3,3,99,12,17,18,10,20,11,11,383
NATURAL,N,Nu Lewis IX,,Y,Y,,,2,,,,,Y,1,none,,none,,none,,Y,,,,6,2,4,,,,,,,,,,,,,4,,,,,,,,4,,20,,,,,,,,,,,,,0,20,396 pages. All NC.,3,3,80,13,0,19,20,17,0,11,312
LEOPOLD,N,Mu Misogynus I,,Y,,Y,,2,Y,,,,,1,none,,none,,detected,,,,Y,,9,12,15,,,,2,,,,,,,,,,,,,,,2,booze (19.8k),,,40,,,,,,,,,,,,,0,40,"4/19/2017 | ((228pg)geo kit. 76 rocks, booze)",3,3,72,11,4,14,15,14,11,3,278
MANANAZ,N,Phi Mott V,Y,,,Y,,2,,,,Y,,1,none,,none,,none,,Y,Y,Y,,2,3,3,,,,,,,,1,,,,,,,,,,,,,,,9,,,,,,,,,5,,3,3,11,20,"4/20/2017: Sky is yellow fading to green, some clouds, Dim red sun, 0 moons",3,3,63,12,0,13,0,13,0,25,291
MACHINE,N,Rho Franklin XI,Y,,Y,,,2,,,,,Y,1,advanced,,advanced,Y,none,,,,Y,,5,2,4,,,,,,1,,,,,,,,4,,,,,,,,,16,,,,,,4,,,,,,,4,20,"4/21/2017 (I'm duplicating someone else's visit) : Sky is maroon fading to pink, blazing blue sun, 1 massive moon. There are tree sized plants and buffaloes butting heads",3,3,46,12,0,2,7,8,13,4,192
LICENSE,N,Pi Jackson IV,,Y,,Y,,2,,,,Y,,1,none,,primitive,Y,none,,,Y,,,4,3,4,,,,,,,,,,,,,,,,,,,,,,,11,,,,,,,4,,,,3,2,9,20,"468 pages, 1 gem",3,3,60,11,8,2,4,13,18,4,250
MIDGARD,N,Upsilon Brooks VI,Y,,,Y,,2,Y,,,,,1,none,,none,,detected,,,,,,5,5,9,,,,,,,,,,,,,,,,,,,1,"booze, 25.9K",,,20,,,,,,,,,,,,,0,20,"649 pahges, 4 gems, alien booze 25,900",3,3,49,12,8,3,6,0,17,3,184
MERONAT,N,Iota Diverticulus III,,,,Y,Y,2,,,,,Y,1,primitive,,advanced,Y,none,,Y,N,Y,,2,4,,,,,,,,,,,,,1,3,,,,,,,,,,10,,,,,,3,,,3,4,,,10,20,81 pages,3,3,79,12,4,17,14,13,0,19,325
METROID,N,Theta Misogynus II,,,,Y,Y,2,,,,,Y,1,advanced,Y,primitive,Y,none,,,,,,4,5,3,,,,,,,,,,,,,,,,,,,,,,,12,,,4,,4,,,,,,,,8,20,A disappointing lack of metroids.,3,3,77,12,4,19,17,14,8,3,284
MEASURE,N,Rho Fritus X,Y,,Y,,,2,,,Y,,,1,primitive,,primitive,,none,,,,,,2,5,5,,,,,,,,,,,,,4,,,4,,,,,,,20,,,,,,,,,,,,,0,20,All NC. 367 pages,3,3,75,12,4,0,18,20,17,4,322
OPQRSTU,N,Iota Shafer IX,Y,,,,Y,2,,,Y,,,1,anomalous,,none,,none,,Y,,,,3,4,2,,,,,,,,,,,,,,,3,,,,,,,,12,,,,,,,,,8,,,,8,20,anomalous plants and spant drones ,3,3,119,14,15,16,17,18,19,20,504
NOMBIES,N,Tau Bob VII,,Y,Y,,,2,,Y,,,,1,primitive,Y,primitive,Y,none,,Y,Y,Y,,2,2,,,,,,,,,,,1,,,,,,,,,,,,,5,,2,,,3,,,,6,,4,,15,20,Botanical sample kit may help on getting more research. Rock NC's are few,3,3,70,13,14,12,1,8,4,18,271
OLDCWSM,N,Lambda Madison VI,,Y,,,Y,2,,,Y,,,1,advanced,Y,none,,detected,Y,,,Y,,2,5,3,,,,,,,,,,,,1,,,,,,,,,,,11,,,3,,,,,6,,,,,9,20,forum post,3,3,82,14,11,3,2,22,18,12,355
OLDCWSQ,N,Sigma O'Reilly XI,,Y,,Y,,2,Y,,,,,1,primitive,Y,none,,detected,Y,,Y,Y,,2,2,,,1,,,,,,,,,,,,,,,,,,,,,5,,3,,,,,,6,,,6,,15,20,forum post,3,3,86,14,11,3,2,22,18,16,383
OLDCWSJ,N,Epsilon Dominatrix XI,,Y,Y,,,2,Y,,,,,1,primitive,,primitive,,detected,Y,Y,Y,,,5,,,,,,,,,,,,,,,3,,,2,,,,,2,,12,,,,,,,,5,,,3,,8,20,forum post,3,3,79,14,11,3,2,22,18,9,334
OLDCWSU,N,Trixrabbitus McNichols VII,,,,Y,Y,2,,,,Y,,1,none,,advanced,,detected,Y,Y,Y,Y,,2,2,,,,,,,1,,,,,,,,,,,2,,,,,,7,,,,,,,,5,1,3,4,,13,20,forum post,3,3,90,14,11,3,2,22,18,20,411
OLDCWSA,N,Tau Bob VII,,Y,Y,,,2,,Y,,,,1,none,,primitive,Y,none,,Y,,,,2,4,4,,,,,,,,,,,,,,,,,,,,,5,,15,,,,,5,,,,,,,,5,20,forum post,3,3,70,14,11,3,2,22,18,0,271
OLDCWSB,N,Iota Allopecius VI,,Y,,Y,,2,Y,,,,,1,advanced,,advanced,,none,,Y,Y,,,3,2,,,,,,,,,,,,,,,2,,,3,,,,,,10,,,,,,,,,5,,2,3,10,20,forum post,3,3,71,14,11,3,2,22,18,1,278
OLDCWSC,N,Lambda Saladus IX,,Y,Y,,,2,,,,Y,,1,none,,none,,none,,,Y,,,3,7,4,,,,,,,,,,,,,,,,,,,,,,,14,,,,,,,,,,,4,2,6,20,forum post,3,3,72,14,11,3,2,22,18,2,285
OLDCWSD,N,Lambda Gromulus VI,Y,Y,,,,2,,,,Y,,1,none,,advanced,Y,none,,,Y,,,5,2,4,,,,,,,,,,,,,,,,,,,,,,4,15,,,,,,5,,,,,,,5,20,forum post,3,3,73,14,11,3,2,22,18,3,292
OLDCWSE,N,Yodeli Draper VI,Y,,,Y,,2,,,Y,,,1,none,,none,,detected,,,,,,6,6,7,,,,,,,,,,,,,,,,,,,1,medicine 23.8k,,,20,,,,,,,,,,,,,0,20,forum post,3,3,74,14,11,3,2,22,18,4,299
OLDCWSF,N,Discothecus Shafer X,Y,,,,Y,2,,,,Y,,1,advanced,Y,none,,none,,,,,,6,4,4,,,,,,,,,,,,,,,,,,,,,,,14,,,6,,,,,,,,,,6,20,forum post,3,3,75,14,11,3,2,22,18,5,306
OLDCWSG,N,Eta Crustulus IV,,Y,,Y,,2,,Y,,,,1,none,,advanced,Y,none,,,Y,,,3,5,2,,,,,,,,,,1,,,,,,,,,,,,5,16,,,,,,4,,,,,,,4,20,forum post,3,3,76,14,11,3,2,22,18,6,313
OLDCWSH,N,Iota Walker X,,,Y,,Y,2,Y,,,,,1,primitive,,advanced,Y,none,,,Y,,,4,3,,,,,,,,,,,,,,5,,,,,,,,,,12,,,,,,2,,,,,6,,8,20,forum post,3,3,77,14,11,3,2,22,18,7,320
OLDCWSI,N,Phi Scabrus X,Y,,,Y,,2,,,Y,,,1,none,,none,,detected,,Y,Y,,,3,4,,,,,,,,,,,,,,,,,,,,1,salad 27.3k,,,8,,,,,,,,,3,2,6,,11,19,forum post,3,3,78,14,11,3,2,22,18,8,327
OLDCWSK,N,Mu Taylor X,,,Y,Y,,2,,,Y,,,1,none,,none,,none,,Y,,Y,,4,5,2,,,,1,,,,,,,,,,,,,,,,,,,12,,,,,,,,,4,3,,,7,19,forum post,3,3,80,14,11,3,2,22,18,10,341
OLDCWSL,N,Lambda White II,,,Y,,Y,2,,,,,Y,1,none,,none,,detected,,Y,,,,5,5,5,,,,,,,,,,,,,,,,,,,1,booze 18.8k,4,,20,,,,,,,,,,,,,0,20,forum post,3,3,81,14,11,3,2,22,18,11,348
OLDCWSN,N,Iota Perambulus V,,Y,Y,,,2,,,,,Y,1,none,,primitive,,none,,Y,Y,,,3,1,,,,,,,,,,,,,,,,,4,,,,,,,8,,,,,,,,,7,,2,3,12,20,forum post,3,3,83,14,11,3,2,22,18,13,362
OLDCWSO,N,Zeta Cartwright V,,,Y,,Y,2,,,,Y,,1,none,,primitive,,none,,,,,,6,3,5,,,,,,,,,,,,,,,,6,,,,,,,20,,,,,,,,,,,,,0,20,forum post,3,3,84,14,11,3,2,22,18,14,369
OLDCWSP,N,Tau Goldthwait IX,,,Y,Y,,2,,,,,Y,1,primitive,Y,primitive,,none,,Y,Y,,,3,2,,,,,,,,,,,,,,,,,2,,,,,,,7,,3,,,,,,,5,,3,2,13,20,forum post,3,3,85,14,11,3,2,22,18,15,376
OLDCWSR,N,Mousketeerus Washington II,,Y,Y,,,2,Y,,,,,1,advanced,,advanced,,none,,,,,,4,5,4,,,,,,,,,,,,,,3,,,4,,,,,,20,,,,,,,,,,,,,0,20,forum post,3,3,87,14,11,3,2,22,18,17,390
OLDCWSS,N,Omicron Corpulus V,,Y,,,Y,2,,,,,Y,1,none,,advanced,Y,none,,Y,,Y,,2,4,3,,,,,,,,,,,1,,,,,,,,,,5,,15,,,,,,5,,,,,,,5,20,forum post,3,3,88,14,11,3,2,22,18,18,397
OLDCWST,N,Blivebarkerus Mott XI,,,Y,,Y,2,,,Y,,,1,primitive,Y,primitive,Y,none,,Y,,,,4,1,,,,,,,,,,,,,,,,,,,,,,,,5,,4,,,3,,,,3,5,,,15,20,forum post,3,3,89,14,11,3,2,22,18,19,404
LRXREJS,N,Upsilon Symington XI,Y,,,,Y,2,Y,,,,,1,primitive,,primitive,,none,,,,,,3,5,3,,,,,,,,,,,,,4,,,5,,,,,,,20,,,,,,,,,,,,,0,20,"matches LQZQEJS in name, environment, & element, but *not* plant/animal life",3,3,99,11,17,23,17,4,9,18,382
MORLOOT,N,Humptydumptus Lennon VIII,,Y,,,Y,2,,,,,Y,1,none,,primitive,Y,none,,Y,Y,,,3,5,,,,,,,,,,,,,,,,,,,,,,4,4,16,,,,,4,,,,,,,,4,20,"No combats with spants or MBs, just N/Cs.",3,3,101,12,14,17,11,14,14,19,422
LITHIUM,N,Xi Rudd X,Y,Y,,,,2,,,Y,,,1,none,,none,,none,,,,,,11,4,5,,,,,,,,,,,,,,,,,,,,,,,20,,,,,,,,,,,,,0,20,"No combats, all rocks. 455 pages",3,3,85,11,8,19,7,8,20,12,356
MORAGIV,N,Pi Lennon IV,Y,,Y,,,2,,,Y,,,1,advanced,,primitive,,none,,Y,,,,3,4,,,,,,,,,,,,,,,4,,5,,,,,4,,20,,,,,,,,,,,,,0,20,No combats. 184 pages,3,3,78,12,14,17,0,6,8,21,316
LANGARA,N,Chi Phlebitis VI,,Y,,,Y,2,,Y,,,,1,primitive,,none,,none,,,,,,6,4,4,,,,1,,,,,,,,,5,,,,,,,,,,20,,,,,,,,,,,,,0,20,No hostiles.,3,3,47,11,0,13,6,0,17,0,176
LQZQEJS,N,Upsilon Symington XI,Y,,,,Y,2,Y,,,,,1,none,,none,,none,,,,,,6,6,8,,,,,,,,,,,,,,,,,,,,,,,20,,,,,,,,,,,,,0,20,retesting name coordinates.  all rock NC,3,3,99,11,16,25,16,4,9,18,382
MELISSA,N,Phlebitis White V,Y,,,Y,,2,,,,,Y,1,none,,primitive,Y,detected,Y,,,,,3,4,5,,,,,,,,,,,,,,,,,,,,,,,12,,,,,3,,,5,,,,,8,20,"Sky is pink fading into yellow near the horizon, with a dense covering of grey clouds. 1 yellow sun, 3 forest moons. skull by gate",3,3,71,12,4,11,8,18,18,0,283
OOOOOOH,N,Gamma Leprus I,,,Y,Y,,2,,,,,Y,1,primitive,,primitive,,detected,Y,,Y,Y,,2,3,0,,,,,,,,,,,,1,3,,,3,,,,,,,12,,,,,,,,4,,,2,2,8,20,"space pirate fluency, murderbot soldiers and drones",3,3,91,14,14,14,14,14,14,7,343
MNOPQRS,N,Theta Black V,,,Y,,Y,2,,,,,Y,1,advanced,,primitive,Y,none,,,Y,Y,,3,4,,,,,,,,,,,,,1,,2,,,,,,,,,10,,,,,3,,,,,,3,4,10,20,"space priate language, muderbot soldiers",3,3,105,12,13,14,15,16,17,18,448
NNHWNNN,N,Rho Perambulus X,Y,,Y,,,2,,,,,Y,1,advanced,,advanced,Y,detected,Y,,,,,2,2,,,,,,,,,,,,,,,3,,,,,,,,,7,,,,,,4,,9,,,,,13,20,,3,3,94,13,13,7,22,13,13,13,382
LPNOITN,N,Xi Wallace VIII,,,,Y,Y,2,,Y,,,,1,primitive,,primitive,,detected,Y,,,,,2,2,,,,,,,,,,,,,,4,,,4,,,,,,,12,,,,,,,,8,,,,,8,20,,3,3,93,11,15,13,14,8,19,13,381
LYTHELY,N,Delta Bubblicius IX,Y,Y,,,,2,,,,,Y,1,primitive,Y,advanced,Y,detected,Y,,,,,4,1,,,,,,,,,,,,,,,,,,,,,,,,5,,4,,,,3,,8,,,,,15,20,,3,3,100,11,24,19,7,4,11,24,398
MANATEE,N,Kappa Fredfordus IX,Y,,,,Y,2,,Y,,,,1,none,,none,,detected,Y,,,,,2,7,3,,,,,,,,,,,,,,,,,,,,,,,12,,,,,,,,8,,,,,8,20,,3,3,52,12,0,13,0,19,4,4,198
OAAAAAA,N,Chi Robinson XI,,,,Y,Y,2,,Y,,,,1,none,,anomalous,,detected,Y,,,,,3,4,2,,,,,,,,,,,,,,,,,,3,,,,,12,,,,,,,,8,,,,,8,20,,3,3,14,14,0,0,0,0,0,0,14
MANHDNT,N,Psi Humptydumpus I,Y,Y,,,,2,,,,,Y,1,none,,none,,detected,Y,,Y,Y,,3,2,2,,,1,,,,,,,,,,,,,,,,,,,5,13,,,,,,,,7,,,,,7,20,,3,3,67,12,0,13,7,3,13,19,305
NOPQRST,N,Alpha O'Reilly V,Y,Y,,,,2,,,,,Y,1,none,,primitive,Y,detected,Y,,,,,3,2,5,,,,,,,,,,,,,,,,,,,,,,,10,,,,,3,,,7,,,,,10,20,,3,3,67,12,0,13,7,3,13,19,305
OXIDIZE,N,Nu Pannus IV,,,,Y,Y,2,,Y,,,,1,advanced,Y,primitive,,detected,Y,Y,,,,2,3,,,,,,,,,,,,,,,,,3,,,,,2,,10,,,3,,,,,7,,,,,10,20,,3,3,85,14,23,8,3,8,25,4,314
LOLOLOL,N,Crunkuli Draper X,,Y,,Y,,2,,,Y,,,1,none,,none,,detected,Y,Y,,,,2,2,2,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,6,8,,,,14,20,,3,3,86,11,14,11,14,11,14,11,344
MALEFIC,N,Lambda Shatner VIII,Y,,,Y,,2,Y,,,,,1,primitive,Y,none,,detected,Y,Y,,,,2,2,,,,,,,,,,,,,,,,,,,,,,,,4,,3,,,,,,6,5,2,,,16,20,,3,3,42,12,0,11,4,5,8,2,148
MELINOE,N,Chi Reaganus VII,,Y,Y,,,2,,,,Y,,1,primitive,,none,,detected,Y,,Y,,,3,3,,,,,,,,,,,,,,2,,,,,,,,,,8,,,,,,,,6,,,3,3,12,20,,3,3,66,12,4,11,8,13,14,4,262
NEPTUNE,N,Equipajus Waldorf IX,,Y,Y,,,2,,,,Y,,1,primitive,,primitive,,detected,Y,Y,,,,2,2,0,,,,,,,,,,,,,2,,,4,,, , ,,,10,,,,,,,,6,3,1,,,10,20,,3,3,88,13,4,15,19,20,13,4,348
NFXJBTY,N,Delta Nite IV,Y,Y,,,,,Y,,,,,1,none,,none,,detected,Y,,Y,Y,,2,2,4,,,,,,,,,,1,,,,,,,,,,,,,9,,,,,,,,6,,,5,,11,20,,3,1,94,13,5,23,9,1,19,24,415
OLDPUSS,N,Psi Shafer III,,,Y,,Y,2,,,,,Y,1,primitive,,primitive,Y,detected,Y,Y,Y,,,2,,,,,,,,,,,,,,,1,,,,,,,,,2,5,,,,,3,,,6,6,,,,15,20,,3,3,99,14,11,3,15,20,18,18,439
